days,date,circ_supply,network_gas_burn,day_locked_pledge,day_renewed_pledge,network_locked_pledge,network_locked,network_locked_reward,disbursed_reserve,pledge_delta,onboards_delta,renews_delta,scheduled_pledge_release,day_onboard_pledge,total_vest,network_RBP,network_QAP,day_onboarded_power_QAP,day_renewed_power_QAP,cum_simple_reward,network_baseline,capped_power,cum_capped_power,network_time,cum_baseline_reward,cum_network_reward,day_network_reward,day_pledge_per_QAP,day_rewards_per_sector,1y_return_per_sector,1y_sector_roi,duration_return_per_sector,duration_sector_roi,duration_roi_annualized
152,2021-03-16,101114349.53035876,19165705.563802157,0.0,0.0,24565174.11771606,49130348.23543212,24565174.11771606,17066618.96177341,0.0,0.0,0.0,0.0,0.0,110047243.42363423,3.817103084253872e+18,3.8181924866148925e+18,3.465312649726125e+16,0.0,15500083.999383714,4.256433910003973e+18,3.817103084253872e+18,3.061965609388768e+20,96.56924145261627,23178789.718496058,38678873.71787977,361567.6500782594,0.0,0.0032537306336893968,0.47051401476592186,inf,0.6896355161279152,inf,inf
153,2021-03-17,96238857.72723664,19193403.711378764,2105140.1909997426,0.0,26670304.30871596,51370180.97444785,24699876.66573189,17066618.96177341,2105130.1909998995,2105140.1909997426,-9.999999843067506,9.999999843067506,2105140.1909997426,110695382.08333182,3.8519661927889633e+18,3.8530471347667927e+18,3.5865451718478868e+16,0.0,15599609.221040903,4.264524699950769e+18,3.8519661927889633e+18,3.1004852713166576e+20,97.67803280124757,23440832.146917127,39040441.36795803,361567.6500782594,2.0167616111034574,0.0032242974000818957,0.46785729679482924,0.2319844319819457,0.6864012877605066,0.3403482513656866,0.06033605813517995
154,2021-03-18,96746576.30454317,19256238.761583794,305588.85977234785,0.0,26975891.968273483,51810890.367992505,24834998.399719022,17066618.96177341,305587.6595575267,305588.85977234785,-1.20021482117228,1.20021482117228,305588.85977234785,111343520.7430294,3.884874781966729e+18,3.885968117354201e+18,3.542546151600987e+16,0.0,15699102.947396344,4.2726308691759334e+18,3.884874781966729e+18,3.139334019136325e+20,98.7939371972639,23704462.78192032,39403565.72931667,363124.3613586351,0.29639566629803976,0.003210746376330226,0.46522895330640496,1.5696213076158658,0.6831964802687076,2.3050150793423594,0.27009056274428356
155,2021-03-19,97266162.26265626,19307878.531553257,306028.0052335394,0.0,27281919.610561993,52252373.28897435,24970453.678412355,17066618.96177341,306027.64228851,306028.0052335394,-0.362945029417001,0.362945029417001,306028.0052335394,111991659.40272698,3.916340914968068e+18,3.9174179205293015e+18,3.5414222573581028e+16,0.0,15798565.188416976,4.2807524469129805e+18,3.916340914968068e+18,3.1784974282860056e+20,99.91649155283854,23969570.530266497,39768135.718683474,364569.98936680704,0.29691579904819254,0.0031976494991311807,0.4626136633666588,1.5580634807902956,0.6800052080813078,2.290229116339262,0.26895209841697576
156,2021-03-20,97787371.00157699,19348778.744636513,316381.76655524905,0.0,27598301.0175515,52704910.82322016,25106609.805668663,17066618.96177341,316381.40698950656,316381.76655524905,-0.3595657424883301,0.3595657424883301,316381.76655524905,112639798.06242457,3.9552959247454044e+18,3.9564828055147643e+18,3.654936654490072e+16,0.0,15897995.954066439,4.2888894624509875e+18,3.9552959247454044e+18,3.2180503875334596e+20,101.0477880693037,24236647.591169238,40134643.54523568,366507.8265522048,0.29742771902460446,0.0031829060428633996,0.4600097499472307,1.5466270307818109,0.67682701734173,2.2756016808431365,0.2678218056412698
157,2021-03-21,98263513.13874695,19438557.29932398,313827.52881292626,0.0,27912126.9572485,53155636.01613948,25243509.058890976,17066618.96177341,313825.9396970003,313827.52881292626,-1.5891159259608405,1.5891159259608405,313827.52881292626,113287936.72212215,3.9954136337093755e+18,3.9965044371604767e+18,3.619185862779415e+16,0.0,15997395.254305258,4.297041945134709e+18,3.9954136337093755e+18,3.2580045238705534e+20,102.18809686008939,24505755.51600957,40503150.77031483,368507.225079149,0.29794081297629504,0.003168221639566973,0.45741958963807217,1.5352699922801971,0.6736635547304147,2.261065035034368,0.26669452086313683
158,2021-03-22,98804545.82877274,19463130.293698024,315342.4912148945,0.0,28227460.682333674,53608405.12261156,25380944.440277893,17066618.96177341,315333.72508517175,315342.4912148945,-8.766129722754247,8.766129722754247,315342.4912148945,113936075.38181973,4.031757578248651e+18,4.032951369082831e+18,3.631575081941227e+16,0.0,16096763.099090919,4.30520992436468e+18,4.031757578248651e+18,3.29832209965304e+20,103.33628069843087,24776623.802398246,40873386.90148917,370236.13117434084,0.2983577442288571,0.0031543193649825546,0.45484353503289754,1.52449046096825,0.670514760253217,2.247351621410888,0.26562738491011273
159,2021-03-23,99144290.66577409,19713094.26819615,292237.62638040294,0.0,28519693.41740421,54038025.53073772,25518332.113333516,17066618.96177341,292232.73507053364,292237.62638040294,-4.891309869278493,4.891309869278493,292237.62638040294,114584214.04151732,4.056759166994219e+18,4.057955245049643e+18,3.3585195450659156e+16,0.0,16196099.498377645,4.3133934295973187e+18,4.056759166994219e+18,3.338889691322982e+20,104.48906325132089,25048477.9630396,41244577.46141724,371190.5599280745,0.2989772204383258,0.00314296480705618,0.4522807209749608,1.5127598026093063,0.6673798513475735,2.23220969935147,0.26444489053277076
160,2021-03-24,99557776.43359686,19895147.408293378,287594.4768842766,0.0,28807287.053220022,54463526.77170523,25656239.718485218,17066618.96177341,287593.63581581553,287594.4768842766,-0.8410684610914955,0.8410684610914955,287594.4768842766,115232352.7012149,4.0932359806417633e+18,4.094435844941054e+18,3.3041695280659904e+16,0.0,16295404.462116472,4.321592490345034e+18,4.0932359806417633e+18,3.3798220511294e+20,105.64965902052788,25322074.488490693,41617478.950607166,372901.4891899228,0.2990667064110826,0.0031293194205092713,0.44972800835990395,1.5037715623942762,0.6642562804053938,2.221097387859481,0.2635742621074604
161,2021-03-25,100097473.87931134,19947741.700342555,309762.10323287384,0.0,29099351.37069565,54894104.615395136,25794753.2446995,17066618.96177341,292064.31747562805,309762.10323287384,-17697.78575724578,17697.78575724578,309762.10323287384,115880491.36091247,4.131724453891539e+18,4.133013910416687e+18,3.5558127750712736e+16,0.0,16394678.000255436,4.3298071361763364e+18,4.131724453891539e+18,3.421139295668315e+20,106.8185793911629,25597531.872107696,41992209.872363135,374730.9217559695,0.29932241927978376,0.003115318919562136,0.4471881760227109,1.4940016090298718,0.6611463393200531,2.2088099545328874,0.2626087632249672
162,2021-03-26,100572565.87142128,20050083.078538783,317719.3142410866,0.0,29407214.62112792,55340225.01017888,25933010.38905097,17066618.96177341,307863.2504322696,317719.3142410866,-9856.063808817029,9856.063808817029,317719.3142410866,116528630.02061006,4.1532160579238625e+18,4.1545032518598656e+18,3.639572056724813e+16,0.0,16493920.122739302,4.338037396715941e+18,4.1532160579238625e+18,3.462671456247554e+20,107.99097076434361,25873704.855016164,42367624.977755465,375415.1053923294,0.29994604699784144,0.003104863329906158,0.44466169976519043,1.4824722786508016,0.6580503826827143,2.1938958331644556,0.26143288758339933
163,2021-03-27,101047460.22421409,20149608.572709914,322027.30521882366,0.0,29719452.544457365,55791731.14553912,26072278.60108176,17066618.96177341,312237.9233294472,322027.30521882366,-9789.381889376435,9789.381889376435,322027.30521882366,117176768.68030764,4.2003083127402004e+18,4.2016988732301967e+18,3.684425898370693e+16,0.0,16593130.839509735,4.3462833016448727e+18,4.2003083127402004e+18,3.504674539374956e+20,109.17400673731035,26152281.46087234,42745412.30038208,377787.3226266131,0.3003120230905951,0.0030893869255838187,0.44214497187476465,1.472285282901853,0.6549648662800486,2.180947867286903,0.26040846218928926
164,2021-03-28,101509034.7177035,20264163.20080251,322970.1812390061,0.0,30031246.499712396,56243494.383299604,26212247.883587208,17066618.96177341,311793.9552550299,322970.1812390061,-11176.225983976192,11176.225983976192,322970.1812390061,117824907.34000522,4.241574976995459e+18,4.2429723578048184e+18,3.690432728628088e+16,0.0,16692310.160505235,4.354544880700576e+18,4.241574976995459e+18,3.54709028914491e+20,110.36597460369292,26432855.83952175,43125166.000026986,379753.6996449083,0.3007010761083063,0.0030752587251899645,0.43964263861098063,1.4620587471813051,0.6518948070416913,2.1679164420645183,0.25937405980861383
165,2021-03-29,101942167.59462652,20399649.974193122,322120.9281880588,0.0,30351707.166025203,56704285.62298591,26352578.4569607,17066618.96177341,320460.66631280637,322120.9281880588,-1660.2618752524002,1660.2618752524002,322120.9281880588,118473045.99970281,4.2763172766904484e+18,4.277729341491675e+18,3.67607161413324e+16,0.0,16791458.0956612,4.362822163677022e+18,4.2763172766904484e+18,3.589853461911815e+20,111.56498059285208,26714980.134668127,43506438.23032933,381272.2303023413,0.3010820238878473,0.0030624691359280995,0.4371536236741344,1.4519419593013416,0.6488388594162269,2.1550235747648574,0.2583473004056476
